0,1,2,3
22,41,0,0
20,35,46,50
22,37,49,53
24,39,53,57
22,37,48,52
24,39,50,54
22,37,48,52
22,37,51,55
24,39,50,54
22,37,51,55
23,40,50,0
22,35,46,0
22,40,51,0
22,39,50,0
22,38,49,0
22,40,51,0
22,39,50,0
22,38,49,0
22,37,48,0
22,40,51,0
22,40,51,0
22,39,50,0
24,0,0,0
24,0,0,0
35,0,0,0
35,0,0,0
20,45,0,0
21,45,0,0
21,45,0,0
21,45,0,0
21,45,0,0
22,47,0,0
22,47,0,0
25,0,0,0
25,0,0,0
22,46,0,0
22,46,0,0
23,47,0,0
23,47,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
23,0,0,0
23,0,0,0
20,45,0,0
20,45,0,0
21,46,0,0
21,46,0,0
22,47,0,0
22,47,0,0
23,48,0,0
19,34,0,0
16,31,49,0
16,31,49,0
16,31,49,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
10,25,36,0
13,28,39,0
13,28,39,0
12,27,38,0
11,26,37,0
20,31,45,0
20,31,45,0
20,31,49,0
21,32,46,0
21,32,50,0
18,33,44,0
18,33,44,0
18,33,44,0
18,33,44,0
11,28,39,53
11,28,39,53
18,33,44,0
18,33,44,0
34,0,0,0
35,0,0,0
35,0,0,0
34,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
23,0,0,0
23,0,0,0
20,45,0,0
20,44,0,0
20,45,0,0
25,0,0,0
25,0,0,0
21,46,0,0
21,46,0,0
22,47,0,0
25,0,0,0
22,47,0,0
35,0,0,0
21,34,0,0
28,41,0,0
21,34,52,0
21,34,52,0
19,38,0,0
19,38,0,0
19,44,0,0
19,39,0,0
19,39,0,0
19,39,0,0
19,46,50,0
19,47,51,0
19,48,52,0
19,48,52,0
19,40,44,0
22,41,50,0
22,41,50,0
23,42,51,0
19,42,46,0
26,45,54,0
19,48,52,0
27,46,55,59
19,47,51,0
19,46,50,0
19,47,50,0
24,43,52,0
19,48,52,0
19,50,54,0
19,34,0,0
16,31,49,0
19,35,55,0
16,32,52,57
33,49,61,0
16,32,53,58
21,41,0,0
22,41,0,0
22,41,0,0
22,41,0,0
22,41,0,0
25,45,0,0
25,45,0,0
25,45,0,0
26,46,0,0
26,46,0,0
26,46,0,0
27,47,0,0
24,44,0,0
22,41,0,0
26,46,0,0
26,46,0,0
26,45,0,0
27,43,53,56
20,32,0,0
20,35,44,0
20,35,44,0
20,35,44,0
19,34,0,0
19,34,0,0
20,35,44,0
20,35,44,0
20,35,44,0
25,40,49,0
17,32,0,0
20,37,44,0
20,39,46,0
20,42,49,0
20,43,50,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,34,0,0
19,35,0,0
20,35,0,0
20,36,0,0
29,38,56,0
19,36,40,0
41,0,0,0
19,38,0,0
19,38,0,0
20,39,0,0
19,39,0,0
16,35,49,0
18,37,0,0
20,39,0,0
19,38,0,0
19,38,0,0
19,38,0,0
0,0,0,0
30,0,0,0
0,0,0,0
0,0,0,0
31,0,0,0
29,0,0,0
33,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
31,0,0,0
31,0,0,0
0,0,0,0
26,0,0,0
25,34,49,0
19,34,0,0
19,39,0,0
19,40,0,0
19,35,0,0
19,35,0,0
19,35,0,0
24,33,51,0
25,34,52,0
26,35,53,0
19,35,0,0
19,35,0,0
19,35,0,0
19,35,0,0
32,41,59,0
19,36,40,0
33,42,60,0
29,38,56,60
0,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
27,0,0,0
30,0,0,0
25,0,0,0
25,0,0,0
16,28,44,0
15,28,45,0
15,28,45,0
16,29,46,0
