0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.60473806,0.22039762,0.5476787,0.4450571,0.19330224,0.045547128,-0.26019913,-0.0460556,-0.45523003,-0.007370074,0.26625833,0.26223868,0.22334,0.04186812,0.022109926,0.22331516,0.012243956,0.10928112,-0.59688336,-0.16126281
0.6645681,-0.49055693,-0.08994123,0.038843516,-0.51686263,0.005925525,0.23590569,0.006629452,0.0454935,-0.057824187,-0.010322591,0.0074258745,0.42911017,-0.12473299,-0.13629536,-0.23050375,0.18378612,0.67945313,0.15140744,-0.4682778
0.42663348,-0.3581754,-0.014242655,0.32018617,0.06470811,-0.07680054,0.2995469,0.071398,0.08009036,-0.04369346,0.0135759525,0.10449661,0.2985886,-0.44221717,0.02276582,0.5306556,0.59717625,0.84067583,0.36664388,-0.40622726
0.27629697,-0.5569406,0.23616955,-0.1508012,0.4235339,0.033748943,-0.16235551,0.20342228,0.3073162,-0.064257056,-0.2394324,-0.08118902,0.1827199,-0.16330765,-0.22865038,0.51279056,0.21010263,0.5247876,0.32259473,-0.37436548
0.7134574,-0.47818637,0.5430632,0.2896636,-0.010077719,-0.087258205,0.30590624,-0.07037326,0.052636866,0.052581303,0.055738308,0.031548567,-0.04013385,-0.21357623,0.12040885,0.19421111,0.46046185,0.75228155,0.08422594,-0.34421214
0.5002146,-0.7065584,0.7495463,0.050064705,0.0781668,-0.010063618,-0.07037999,-0.052536085,0.18184876,0.34091604,-0.17848319,0.11988844,0.01613937,-0.18291512,0.09064417,0.14427064,0.40959337,0.53147185,-0.20914462,-0.6180741
0.538882,-0.41942912,0.022905752,0.3903024,0.028589722,-0.08452366,0.1510472,-0.042977434,-0.0041572284,-0.06116999,-0.009377956,0.03790155,0.3462223,-0.30867478,-0.003834106,0.54350626,0.6342311,0.8511774,0.21419556,-0.19779676
0.52720904,-0.60343045,-0.07783568,0.25869715,0.11734069,0.043888133,0.13190594,-0.015987026,-0.04819776,-0.105998315,0.04289967,-0.092124715,0.23915505,-0.44874412,-0.15943664,0.5632909,0.5293838,0.72087663,0.42769283,-0.44649294
0.23717204,-0.8072206,0.18528591,-0.3715341,0.43487722,0.15780254,0.0496025,-0.035206698,0.3382695,-0.036615185,-0.17888492,-0.012132152,0.45137382,-0.05318655,-0.1826401,0.56613404,0.50067097,0.5228573,0.055630874,-0.4553451
0.61302614,-0.45238072,0.35413253,0.33517358,0.14305563,0.13189349,0.11878308,-0.024356034,0.050801903,0.027504643,0.19640137,0.093748346,-0.032225117,-0.36600977,-0.0807154,0.23639816,0.6292533,0.70929354,-0.012423355,-0.6184841
